Country,Place,Start date,End date,Level,Confirmed,update,url
Papua New Guinea,Papua New Guinea,,,,,2021-04-17,
Panama,Panama,,,,,2021-04-17,
Israel,Israel,,,,,2021-04-17,
Turkey,Turkey,,,,,2021-04-17,
Ireland,Ireland,2020-03-27,2020-05-05,National,False,2020-04-09,https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-what-date-new-21847978
Armenia,Armenia,2020-03-24,2020-05-11,National,False,2020-04-14,https://uk.reuters.com/article/uk-health-coronavirus-armenia/armenia-extends-state-of-emergency-to-stem-coronavirus-outbreak-idUKKCN21T0FL?fbclid=IwAR0yCUOiRj2J7LbJypkVJN_P_n4epRVHV9n9EBwdpvgdysjo7gKvH265wdU
Colombia,Colombia,2020-03-24,2020-04-26,National,False,2020-04-14,https://en.wikipedia.org/wiki/Curfews_and_lockdowns_related_to_the_2019%E2%80%9320_coronavirus_pandemic#cite_note-16
United Kingdom,United Kingdom,2020-03-24,2020-05-07,National,False,2020-04-14,https://www.thetimes.co.uk/article/dominic-raab-to-announce-lockdown-for-3-more-weeks-j335kmbv0
Czech Republic,Czech Republic,2020-03-16,2020-04-17,National,True,2020-04-14,https://www.politico.eu/article/czech-republic-eases-lockdown-restrictions/
Hungary,Hungary,2020-03-28,2020-04-25,National,False,2020-04-17,https://www.nytimes.com/reuters/2020/04/16/world/europe/16reuters-health-coronavirus-hungary-lockdown.html
Liberia,Liberia,2020-04-10,2020-05-01,National,False,2020-04-14,https://frontpageafricaonline.com/front-slider/liberia-president-weah-announces-3-weeks-state-of-emergency/
Nigeria,Lagos,2020-03-30,2020-04-28,City,False,2020-04-14,https://www.aljazeera.com/news/2020/04/nigeria-extends-coronavirus-lockdown-key-cities-weeks-200413185335045.html
Nigeria,Abuja,2020-03-30,2020-04-28,City,False,2020-04-14,https://www.aljazeera.com/news/2020/04/nigeria-extends-coronavirus-lockdown-key-cities-weeks-200413185335045.html
Nigeria,Ogun,2020-03-30,2020-04-28,City,False,2020-04-14,https://www.aljazeera.com/news/2020/04/nigeria-extends-coronavirus-lockdown-key-cities-weeks-200413185335045.html
Norway,Norway,2020-03-12,2020-04-27,National,True,2020-04-14,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html
Austria,Austria,2020-03-16,2020-04-14,National,True,2020-04-14,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html
Paraguay,Paraguay,2020-03-20,2020-04-19,National,False,2020-04-14,https://www.garda.com/crisis24/news-alerts/330931/paraguay-nationwide-quarantine-extended-through-april-19-update-4
Poland,Poland,2020-03-13,2020-05-03,National,False,2020-04-14,https://www.reuters.com/article/us-health-coronavirus-poland-restriction/polands-coronavirus-restrictions-extended-towards-election-date-idUSKCN21R1SQ
Puerto Rico,Puerto Rico,2020-03-15,2020-05-03,National,False,2020-04-14,https://www.miamiherald.com/news/nation-world/world/americas/article241942531.html
Qatar,Qatar,,,,,2021-04-17,
